Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals)"
,,,,,,,,
133,200,0,192,0,927.4,839.2,7,13.66
,,,,,,,,
252,0,0,185,0,1111,784,7,13.71
,,,,,,,,
250,0,95.7,187.4,5.5,956.9,861.2,3,13.82
,,,,,,,,
305.3,203.5,0,203.5,0,965.4,631,3,14.14
,,,,,,,,
275,0,0,183,0,1088,808,7,14.2
,,,,,,,,
296,0,0,192,0,1085,765,7,14.2
,,,,,,,,
331,0,0,192,0,1025,821,3,14.31
,,,,,,,,
165,0,143.6,163.8,0,1005.6,900.9,3,14.4
,,,,,,,,
281,0,0,186,0,1104,774,7,14.5
,,,,,,,,
381.4,0,0,185.7,0,1104.6,784.3,7,14.54
,,,,,,,,
139.6,209.4,0,192,0,1047,806.9,7,14.59
,,,,,,,,
289,0,0,192,0,913.2,895.3,7,14.6
,,,,,,,,
198.6,132.4,0,192,0,978.4,825.5,7,14.64
,,,,,,,,
385,0,0,186,0,966,763,3,14.7
,,,,,,,,
295,0,0,185,0,1069,769,7,14.8
,,,,,,,,
295.8,0,0,185.7,0,1091.4,769.3,7,14.84
,,,,,,,,
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,14.94
,,,,,,,,
349,0,0,192,0,1047,806,3,14.99
,,,,,,,,
310,0,0,192,0,970,850,7,14.99
,,,,,,,,
212,141.3,0,203.5,0,973.4,750,7,15.03
,,,,,,,,
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
,,,,,,,,
349,0,0,192,0,1047,806.9,3,15.05
,,,,,,,,
202,11,141,206,1.7,942,801,7,15.07
,,,,,,,,
164,0,200,181,13,849,846,28,15.09
,,,,,,,,
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09
,,,,,,,,
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,15.34
,,,,,,,,
144,15,195,176,6,1021,709,28,15.34
,,,,,,,,
249.1,0,98.8,158.1,12.8,987.8,889,3,15.36
,,,,,,,,
144,0,175,158,18,943,844,28,15.42
,,,,,,,,
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
,,,,,,,,
231.8,0,121.6,174,6.7,1056.4,778.5,3,15.44
,,,,,,,,
167,75.4,167,164,7.9,1007.3,770.1,3,15.52
,,,,,,,,
148,0,182,181,15,839,884,28,15.52
,,,,,,,,
148.1,0,182.1,181.4,15,838.9,884.3,28,15.53
,,,,,,,,
151,0,184,167,12,991,772,28,15.57
,,,,,,,,
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
,,,,,,,,
300,0,0,184,0,1075,795,7,15.58
,,,,,,,,
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,15.61
,,,,,,,,
333,0,0,192,0,931.2,842.6,3,15.62
,,,,,,,,
238.2,158.8,0,185.7,0,1040.6,734.3,7,15.69
,,,,,,,,
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
,,,,,,,,
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
,,,,,,,,
349,0,0,192,0,1056,809,3,15.87
,,,,,,,,
288,192,0,192,0,932,717.8,3,16.11
,,,,,,,,
331,0,0,192,0,978,825,7,16.26
,,,,,,,,
376,0,0,214.6,0,1003.5,762.4,3,16.28
,,,,,,,,
154,144,112,220,10,923,658,28,16.5
,,,,,,,,
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
,,,,,,,,
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
,,,,,,,,
157,236,0,192,0,935.4,781.2,7,16.89
,,,,,,,,
200,133,0,192,0,965.4,806.2,7,17.17
,,,,,,,,
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
,,,,,,,,
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,17.22
,,,,,,,,
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.24
,,,,,,,,
310,0,0,192,0,1012,830,7,17.24
,,,,,,,,
102,153,0,192,0,887,942,28,17.28
,,,,,,,,
225,0,0,181,0,1113,833,28,17.34
,,,,,,,,
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
,,,,,,,,
331,0,0,192,0,1025,821,7,17.44
,,,,,,,,
325,0,0,184,0,1063,783,7,17.54
,,,,,,,,
238,0,0,186,0,1119,789,28,17.54
,,,,,,,,
238,0,0,185,0,1118,789,28,17.54
,,,,,,,,
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,17.57
,,,,,,,,
238.1,0,0,185.7,0,1118.8,789.3,28,17.58
,,,,,,,,
186.2,124.1,0,185.7,0,1083.4,764.3,28,17.6
,,,,,,,,
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82
,,,,,,,,
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,17.84
,,,,,,,,
148,0,137,158,16,1002,830,28,17.95
,,,,,,,,
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
,,,,,,,,
153,102,0,192,0,888,943.1,28,17.96
,,,,,,,,
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18
,,,,,,,,
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,18.02
,,,,,,,,
165,0,150,182,12,1023,729,28,18.03
,,,,,,,,
164.6,0,150.4,181.6,11.7,1023.3,728.9,28,18.03
,,,,,,,,
350,0,0,203,0,974,775,7,18.13
,,,,,,,,
349,0,0,192,0,1047,806,7,18.13
,,,,,,,,
302,0,0,203,0,974,817,14,18.13
,,,,,,,,
135.7,203.5,0,185.7,0,1076.2,759.3,28,18.2
,,,,,,,,
155,183,0,193,9,1047,697,28,18.28
,,,,,,,,
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
,,,,,,,,
236,0,0,194,0,968,885,28,18.42
,,,,,,,,
255,0,0,192,0,889.8,945,28,18.75
,,,,,,,,
296,0,0,186,0,1090,769,7,18.91
,,,,,,,,
153,145,0,178,8,1000,822,28,19.01
,,,,,,,,
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
,,,,,,,,
393,0,0,192,0,940,758,3,19.11
,,,,,,,,
393,0,0,192,0,940.6,785.6,3,19.2
,,,,,,,,
250.2,166.8,0,203.5,0,977.6,694.1,7,19.35
,,,,,,,,
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
,,,,,,,,
190.3,0,125.2,166.6,9.9,1079,798.9,14,19.42
,,,,,,,,
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
,,,,,,,,
203.5,305.3,0,203.5,0,963.4,630,7,19.54
,,,,,,,,
252,0,0,185,0,1111,784,28,19.69
,,,,,,,,
252,0,0,185,0,1111,784,28,19.69
,,,,,,,,
272.8,181.9,0,185.7,0,1012.4,714.3,7,19.77
,,,,,,,,
252.5,0,0,185.7,0,1111.6,784.3,28,19.77
,,,,,,,,
238.1,0,94.1,186.7,7,949.9,847,3,19.93
,,,,,,,,
147,115,89,202,9,860,829,28,19.99
,,,,,,,,
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
,,,,,,,,
230,0,118.3,195.5,4.6,1029.4,758.6,14,20.08
,,,,,,,,
350,0,0,186,0,1050,770,7,20.28
,,,,,,,,
236,157,0,192,0,972.6,749.1,7,20.42
,,,,,,,,
108.3,162.4,0,203.5,0,938.2,849,28,20.59
,,,,,,,,
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,20.73
,,,,,,,,
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,20.73
,,,,,,,,
322,0,0,203,0,974,800,14,20.77
,,,,,,,,
250,0,0,182,0,1100,820,28,20.87
,,,,,,,,
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,20.92
,,,,,,,,
339,0,0,197,0,968,781,7,20.97
,,,,,,,,
251.8,0,99.9,146.1,12.4,1006,899.8,3,21.02
,,,,,,,,
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
,,,,,,,,
158.8,238.2,0,185.7,0,1040.6,734.3,28,21.07
,,,,,,,,
339,0,0,185,0,1069,754,7,21.16
,,,,,,,,
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
,,,,,,,,
277,0,0,191,0,968,856,14,21.26
,,,,,,,,
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,21.29
,,,,,,,,
192,288,0,192,0,929.8,716.1,7,21.48
,,,,,,,,
182,45.2,122,170.2,8.2,1059.4,780.7,14,21.5
,,,,,,,,
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
,,,,,,,,
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
,,,,,,,,
296,0,0,192,0,1085,765,28,21.65
,,,,,,,,
302,0,0,203,0,974,817,28,21.75
,,,,,,,,
252.3,0,98.8,146.3,14.2,987.8,889,3,21.78
,,,,,,,,
210.7,316.1,0,185.7,0,977,689.3,7,21.82
,,,,,,,,
255,0,0,192,0,889.8,945,90,21.86
,,,,,,,,
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
,,,,,,,,
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
,,,,,,,,
135,105,193,196,6,965,643,28,21.91
,,,,,,,,
228,342.1,0,185.7,0,955.8,674.3,7,21.92
,,,,,,,,
236,0,0,194,0,968,885,90,21.95
,,,,,,,,
202,11,141,206,1.7,942,801,28,21.97
,,,,,,,,
233.8,0,94.6,197.9,4.6,947,852.2,14,22.14
,,,,,,,,
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,22.32
,,,,,,,,
116,173,0,192,0,909.8,891.9,28,22.35
,,,,,,,,
281,0,0,185,0,1104,774,28,22.44
,,,,,,,,
281,0,0,186,0,1104,774,28,22.44
,,,,,,,,
381.4,0,0,185.7,0,1104.6,784.3,28,22.49
,,,,,,,,
290.4,0,96.2,168.1,9.4,961.2,865,3,22.5
,,,,,,,,
350,0,0,203,0,974,775,14,22.53
,,,,,,,,
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.63
,,,,,,,,
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,22.72
,,,,,,,,
387,20,94,157,14.3,938,845,3,22.75
,,,,,,,,
233.8,0,94.6,197.9,4.6,947,852.2,28,22.84
,,,,,,,,
362.6,189,0,164.9,11.6,944.7,755.8,7,22.9
,,,,,,,,
184,86,190,213,6,923,623,28,22.93
,,,,,,,,
295.7,0,95.6,171.5,8.9,955.1,859.2,3,22.95
,,,,,,,,
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,23.08
,,,,,,,,
277.1,0,97.4,160.6,11.8,973.9,875.6,3,23.14
,,,,,,,,
385,0,0,186,0,966,763,7,23.22
,,,,,,,,
202,11,141,206,1.7,942,801,56,23.25
,,,,,,,,
446,24,79,162,11.6,967,712,3,23.35
,,,,,,,,
333,0,0,192,0,931.2,842.6,7,23.4
,,,,,,,,
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
,,,,,,,,
149,118,92,183,7,953,780,28,23.52
,,,,,,,,
288,192,0,192,0,932,717.8,7,23.52
,,,,,,,,
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
,,,,,,,,
246.8,0,125.1,143.3,12,1086.8,800.9,3,23.52
,,,,,,,,
359,19,141,154,10.9,942,801,3,23.64
,,,,,,,,
149,139,109,193,6,892,780,28,23.69
,,,,,,,,
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
,,,,,,,,
146,173,0,182,3,986,817,28,23.74
,,,,,,,,
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
,,,,,,,,
155,183,0,193,9,877,868,28,23.79
,,,,,,,,
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.79
,,,,,,,,
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,23.8
,,,,,,,,
300,0,120,212,10,878,728,28,23.84
,,,,,,,,
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
,,,,,,,,
436,0,0,218,0,838.4,719.7,28,23.85
,,,,,,,,
167,187,195,185,7,898,636,28,23.89
,,,,,,,,
382,0,0,186,0,1047,739,7,24
,,,,,,,,
382,0,0,185,0,1047,739,7,24
,,,,,,,,
183.9,122.6,0,203.5,0,959.2,800,28,24.05
,,,,,,,,
382.5,0,0,185.7,0,1047.8,739.3,7,24.07
,,,,,,,,
337.9,189,0,174.9,9.5,944.7,755.8,3,24.1
,,,,,,,,
236,0,0,193,0,968,885,180,24.1
,,,,,,,,
284,15,141,179,5.5,842,801,7,24.13
,,,,,,,,
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24
,,,,,,,,
173,116,0,192,0,946.8,856.8,28,24.28
,,,,,,,,
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
,,,,,,,,
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
,,,,,,,,
154,174,185,228,7,845,612,28,24.34
,,,,,,,,
480,0,0,192,0,936,721,3,24.39
,,,,,,,,
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,24.4
,,,,,,,,
480,0,0,192,0,936.2,712.2,3,24.4
,,,,,,,,
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,24.43
,,,,,,,,
316.1,210.7,0,185.7,0,977,689.3,7,24.44
,,,,,,,,
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
,,,,,,,,
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
,,,,,,,,
275,0,0,183,0,1088,808,28,24.5
,,,,,,,,
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,24.54
,,,,,,,,
149,153,194,192,8,935,623,28,24.58
,,,,,,,,
250,0,95.7,191.8,5.3,948.9,857.2,14,24.66
,,,,,,,,
190.3,0,125.2,166.6,9.9,1079,798.9,28,24.85
,,,,,,,,
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
,,,,,,,,
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
,,,,,,,,
250,0,95.7,187.4,5.5,956.9,861.2,14,24.92
,,,,,,,,
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,24.99
,,,,,,,,
446,24,79,162,11.6,967,712,3,25.02
,,,,,,,,
236,0,0,193,0,968,885,365,25.08
,,,,,,,,
313,0,0,178,8,1000,822,28,25.1
,,,,,,,,
312.7,0,0,178.1,8,999.7,822.2,28,25.1
,,,,,,,,
359,19,141,154,10.9,942,801,3,25.12
,,,,,,,,
296,0,0,186,0,1090,769,28,25.18
,,,,,,,,
295,0,0,185,0,1069,769,28,25.18
,,,,,,,,
322,0,0,203,0,974,800,28,25.18
,,,,,,,,
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2
,,,,,,,,
295.8,0,0,185.7,0,1091.4,769.3,28,25.22
,,,,,,,,
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,25.37
,,,,,,,,
239.6,359.4,0,185.7,0,941.6,664.3,7,25.42
,,,,,,,,
397,0,0,185.7,0,1040.6,734.3,7,25.45
,,,,,,,,
102,153,0,192,0,887,942,90,25.46
,,,,,,,,
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,25.48
,,,,,,,,
387,20,94,157,13.9,938,845,3,25.51
,,,,,,,,
153,145,113,178,8,1002,689,28,25.56
,,,,,,,,
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
,,,,,,,,
289,0,0,192,0,913.2,895.3,28,25.57
,,,,,,,,
491,26,123,210,3.9,882,699,3,25.61
,,,,,,,,
376,0,0,214.6,0,1003.5,762.4,14,25.62
,,,,,,,,
238.1,0,94.1,186.7,7,949.9,847,14,25.69
,,,,,,,,
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,25.72
,,,,,,,,
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.73
,,,,,,,,
220.8,147.2,0,185.7,0,1055,744.3,28,25.75
,,,,,,,,
305.3,203.5,0,203.5,0,965.4,631,7,25.89
,,,,,,,,
277,0,0,191,0,968,856,28,25.97
,,,,,,,,
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
,,,,,,,,
375,0,0,186,0,1038,758,7,26.06
,,,,,,,,
500,0,0,200,0,1125,613,3,26.06
,,,,,,,,
144,136,106,178,7,941,774,28,26.14
,,,,,,,,
143.8,136.3,106.2,178.1,7.5,941.5,774.3,28,26.15
,,,,,,,,
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
,,,,,,,,
153,145,113,178,8,867,824,28,26.23
,,,,,,,,
153.1,145,113,178.5,8,867.2,824,28,26.23
,,,,,,,,
237.5,237.5,0,228,0,932,594,7,26.26
,,,,,,,,
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,26.31
,,,,,,,,
153,102,0,192,0,888,943.1,90,26.32
,,,,,,,,
190.7,0,125.4,162.1,7.8,1090,804,28,26.4
,,,,,,,,
302,0,0,203,0,974,817,180,26.74
,,,,,,,,
231.8,0,121.6,174,6.7,1056.4,778.5,14,26.77
,,,,,,,,
300,0,0,184,0,1075,795,28,26.85
,,,,,,,,
153,239,0,200,6,1002,684,28,26.86
,,,,,,,,
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
,,,,,,,,
238.2,158.8,0,185.7,0,1040.6,734.3,28,26.91
,,,,,,,,
148,175,0,171,2,1000,828,28,26.92
,,,,,,,,
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
,,,,,,,,
254,0,0,198,0,968,863,90,26.94
,,,,,,,,
136,196,98,199,6,847,783,28,26.97
,,,,,,,,
339,0,0,197,0,968,781,14,27.04
,,,,,,,,
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
,,,,,,,,
164,163,128,197,8,961,641,28,27.23
,,,,,,,,
350,0,0,203,0,974,775,28,27.34
,,,,,,,,
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,27.42
,,,,,,,,
307,0,0,193,0,968,812,28,27.53
,,,,,,,,
254,0,0,198,0,968,863,180,27.63
,,,,,,,,
233.8,0,94.6,197.9,4.6,947,852.2,56,27.66
,,,,,,,,
159,149,116,175,15,953,720,28,27.68
,,,,,,,,
158.6,148.9,116,175.1,15,953.3,719.7,28,27.68
,,,,,,,,
393,0,0,192,0,940.6,785.6,7,27.74
,,,,,,,,
181.4,0,167,169.6,7.6,1055.6,777.8,28,27.77
,,,,,,,,
310,0,0,192,0,1012,830,28,27.83
,,,,,,,,
133,200,0,192,0,927.4,839.2,28,27.87
,,,,,,,,
385,0,0,186,0,966,763,14,27.92
,,,,,,,,
310,0,0,192,0,970,850,28,27.92
,,,,,,,,
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
,,,,,,,,
198.6,132.4,0,192,0,978.4,825.5,28,28.02
,,,,,,,,
388.6,97.1,0,157.9,12.1,852.1,925.7,3,28.1
,,,,,,,,
139.6,209.4,0,192,0,1047,806.9,28,28.24
,,,,,,,,
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
,,,,,,,,
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,28.47
,,,,,,,,
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.6
,,,,,,,,
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,28.63
,,,,,,,,
237,92,71,247,6,853,695,28,28.63
,,,,,,,,
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
,,,,,,,,
249.1,0,98.8,158.1,12.8,987.8,889,14,28.68
,,,,,,,,
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.8
,,,,,,,,
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
,,,,,,,,
155,184,143,194,9,880,699,28,28.99
,,,,,,,,
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
,,,,,,,,
375,93.8,0,126.6,23.4,852.1,992.6,3,29
,,,,,,,,
136,162,126,172,10,923,764,28,29.07
,,,,,,,,
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
,,,,,,,,
145,116,119,184,5.7,833,880,28,29.16
,,,,,,,,
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
,,,,,,,,
108.3,162.4,0,203.5,0,938.2,849,90,29.23
,,,,,,,,
296,0,0,192,0,1085,765,90,29.39
,,,,,,,,
156,178,187,221,7,854,614,28,29.41
,,,,,,,,
222.4,0,96.7,189.3,4.5,967.1,870.3,56,29.45
,,,,,,,,
491,26,123,201,3.9,822,699,3,29.55
,,,,,,,,
